, Data element name,Usage [Cardinality],Segment Name,Field Identifier,HL7 V2 Field Name,"V2 value set, other notes",FHIR element location,Usage [Cardinality].1,"FHIR Value set, other notes",parsed,joined
10,Patient Last Name,R [1..*],PID,5.1,Patient Name.Family Name,"HL7 PID-5 element can repeat to support more than one name, but components do not repeat.
The Patient’s Legal Name should be sent in the first repetition of PID-5",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.family,R [1..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.family']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.family"
11,Patient Middle Name,RE [0..*],PID,5.3,Patient Name.Middle Name,"HL7 PID-5 element can repeat to support more than one name, but components do not repeat.
The Patient’s Legal Name should be sent in the first repetition of PID-5",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.given,RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given"
12,Patient Suffix,RE [0..*],PID,5.4,Patient Name.Suffix,"HL7 PID-5 element can repeat to support more than one name, but components do not repeat.
The Patient’s Legal Name should be sent in the first repetition of PID-5",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.suffix,O [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.suffix']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.suffix"
13,"Patient Alias Indicator
",RE [0..1],PID,5.7,Patient Name.Name Type Code,"NOTE: Patient Alias Name is recommended if available and differs from the Patient Legal Name. If a Patient Alias Name is sent in a repetition of PID-5, PID-5.7 must contain “A”","https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name, where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.use is valued 'nickname'",O [0..*],,"['<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name,', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.use', 'is', 'valued', ""'nickname'""]","<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name, where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.use is valued 'nickname'"
14,Patient  Alias First Name,O [0..1],PID,5.2,"Patient Name.Given Name, when PID-3.7 is valued 'A'","NOTE: Patient Alias Name is recommended if available and differs from the Patient Legal Name. If a Patient Alias Name is sent in a repetition of PID-5, PID-5.7 must contain “A”",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.given,R [1..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given"
15,Patient  Alias Last Name,O [0..1],PID,5.1,"Patient Name.Family Name, when PID-3.7 is valued 'A'","NOTE: Patient Alias Name is recommended if available and differs from the Patient Legal Name. If a Patient Alias Name is sent in a repetition of PID-5, PID-5.7 must contain “A”",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.family,R [1..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.family']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.family"
16,Patient  Alias Middle Name,O [0..1],PID,5.3,"Patient Name.Middle Name, when PID-3.7 is valued 'A'","NOTE: Patient Alias Name is recommended if available and differs from the Patient Legal Name. If a Patient Alias Name is sent in a repetition of PID-5, PID-5.7 must contain “A”",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.given,RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.given"
17,Patient  Alias Suffix,O [0..1],PID,5.4,"Patient Name.Suffix, when PID-3.7 is valued 'A'","NOTE: Patient Alias Name is recommended if available and differs from the Patient Legal Name. If a Patient Alias Name is sent in a repetition of PID-5, PID-5.7 must contain “A”",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.name.suffix,O [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.suffix']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.name.suffix"
18,Patient Date of Birth,R [1..1],PID,7,Date/Time of Birth,Note: For patient demographic matching only date information (YYYYMMDD) should be used.,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.birthDate,RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.birthDate']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.birthDate"
19,Patient Gender,R [1..1],PID,8,Administrative Sex,http://terminology.hl7.org/2.1.0/ValueSet-v2-0001.html ,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.gender,R [1..1],https://hl7.org/fhir/R4/valueset-administrative-gender.html,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.gender']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.gender"
20,Patient Street Address,RE [0..*],PID,11.1,Patient Address.Street Address,"HL7 PID-11 element can repeat to support more than one address, but components do not repeat",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.address.line,RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.line']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.line"
21,Patient Street Address 2,RE [0..*],PID,11.2,Patient Address.Other Designation,"HL7 PID-11 element can repeat to support more than one address, but components do not repeat",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.address.line,RE [0..*],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.line']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.line"
22,Patient City,RE [0..*],PID,11.3,Patient Address.City,"HL7 PID-11 element can repeat to support more than one address, but components do not repeat",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.address.city,RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.city']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.city"
23,Patient State,RE [0..*],PID,11.4,Patient Address.State or Province,"HL7 PID-11 element can repeat to support more than one address, but components do not repeat",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.address.state,RE [0..1],https://hl7.org/fhir/us/core/STU3.1/ValueSet-us-core-usps-state.html,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.state']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.state"
24,Patient ZIP,RE [0..*],PID,11.5,Patient Address.Zip or Postal Code,"HL7 PID-11 element can repeat to support more than one address, but components do not repeat",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.address.postalCode,RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.postalCode']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.postalCode"
25,Patient Country - if not US,RE [0..*],PID,11.6,Patient Address.Country,"HL7 PID-11 element can repeat to support more than one address, but components do not repeat",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.address.country,RE [0..1],,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.country']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.address.country"
26,Patient Telephone Number,RE [0..*],PID,13.6,Phone Number -  Home.Area/City Code,"HL7 PID-13 element can repeat to support more than one communication means (Phone or email or direct), but only 1 repeat of the component per occurrence",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.subject with reference to https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient-definitions.html#Patient.telecom.value,RE [0..1],"the element patient.telecom can repeat , but within one occurrence this element can only be used once","['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject', 'with', 'reference', 'to', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.value']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.subject with reference to <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-patient.html"">US Core Patient Profile</a>.telecom.value"
